X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
-78.578980984378447,35.763941266192226,1042,497709,Century Center Cafeteria (DOT building),1020 BIRCH RIDGE DR ,RALEIGH,NC,27610-4328,35.763934,-78.578978,19192504244
-78.587965571685402,35.783921305421899,1043,497734,Wake Med Kitchen,3000 NEW BERN AVE,RALEIGH,NC,27610-1231,35.783914,-78.587963,19193508042
-78.602932035453847,35.848025808126742,1044,497756,Char-Grill,4617 Atlantic Ave,RALEIGH,NC,27604-8103,35.848019,-78.602929,19199549556
-78.742641087276894,35.760547789106383,1045,497763,Olive Garden,1809 WALNUT ST ,CARY,NC,27511-9201,35.760541,-78.742638,19192339714
-78.742368968206492,35.760025642578789,1046,497764,Chick-fil-A,1815 WALNUT ST ,CARY,NC,27511-9201,35.760019,-78.742366,19192331691
-78.704654309311664,35.858337140541806,1047,497816,Chilis Bar And Grill,6324 GLENWOOD AVE ,RALEIGH,NC,27612-2618,35.85833,-78.704652,19195713600
-78.676221557850639,35.789987434212385,1048,497865,East Village Bar & Grill,1 DIXIE TRL ,RALEIGH,NC,27607-7042,35.78998,-78.676219,19198219985
-78.707763783285259,35.860369104061434,1049,497908,Neo-Asia,6602 GLENWOOD AVE ,RALEIGH,NC,27612-7136,35.860362,-78.707761,19197838383
-78.680013373062963,35.791211798009357,1050,497919,India Mahal,3212 HILLSBOROUGH ST ,RALEIGH,NC,27607-5439,35.791205,-78.680011,19198369742
-78.58248560630642,35.859865825557996,1051,497927,BOJANGLES #15,5409 CAPITAL BLVD ,RALEIGH,NC,27616-2929,35.859859,-78.582483,19198725820
-78.68129159040798,35.89927323847364,1052,497947,Wendy's,8209 CREEDMOOR RD ,RALEIGH,NC,27613-1372,35.899266,-78.681289,19196762320
-78.682489536668925,35.898514147242778,1053,497995,Margauxs,8111 CREEDMOOR RD ,RALEIGH,NC,27613-4389,35.898507,-78.682487,19198469846
-78.661060649197765,35.791503114604318,1054,498009,K & W Cafeteria,511 WOODBURN RD ,RALEIGH,NC,27605-1325,35.791496,-78.661058,19198327505
-78.624451962947305,35.873974669734096,1055,498056,Raleighwood Cinema & Grill,6609 Falls Of Neuse Rd ,RALEIGH,NC,27615,35.873968,-78.624449,19198478370
-78.637667706119302,35.776599232195103,1056,498087,Revenue Bldg. Cafeteria,305 N Wilmington St ,RALEIGH,NC,27601,35.776592,-78.637665,
-78.742887224242267,35.767209833210785,1057,498095,AMF South Hills Snack Bar,301 NOTTINGHAM DR,CARY,NC,27511-4947,35.767203,-78.742885,19194672411
-78.783800642514436,35.759180996821165,1058,498131,Chilis Grill & Bar,1388 KILDAIRE FARM RD ,CARY,NC,27511-5526,35.759174,-78.783798,111111119194
