OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
2074,501941,82.5,2015-02-26T00:00:00.000Z,,routine
2075,522369C5-0B21-32F8-19997B6DEE897B7A,92,2015-02-25T00:00:00.000Z,,routine
2076,527365,80,2015-01-23T00:00:00.000Z,,routine
2077,528019,92,2015-02-13T00:00:00.000Z,,routine
2078,68E8BC26-91A9-1674-B0FD158409AE27B6,90.5,2015-02-16T00:00:00.000Z,,routine
2079,6A57F4B1-9826-D4F6-03FA6E6A145CB44F,92,2015-03-04T00:00:00.000Z,,routine
2080,6ABFDD5F-131F-1770-9961176B5EA12E58,90.5,2015-02-18T00:00:00.000Z,,routine
2081,6E68B0C9-FE67-39D3-C9BCBCFCDAD844E0,86,2015-02-27T00:00:00.000Z,,routine
2082,8E199F93-B085-D97E-AFA0666BF0E96605,90.5,2015-02-25T00:00:00.000Z,,routine
2083,91973A70-DEAB-0D9F-890E8C3606E25265,90,2015-02-17T00:00:00.000Z,,routine
2084,9EF8E1F2-F222-3AD3-2CCD647EDEC86D29,92,2015-02-23T00:00:00.000Z,,routine
2085,A6635710-B6D4-24AB-FBC60C957446178C,87,2015-01-21T00:00:00.000Z,,routine
2086,A751E7BD-E548-EDA8-0663BADBEB633173,87,2015-02-10T00:00:00.000Z,,routine
2087,ACA7C90D-3048-98E5-1AF60F880960EC16,91.5,2015-02-19T00:00:00.000Z,,routine
2088,B530087E-B699-ACE4-584CF7781C012972,90,2015-03-02T00:00:00.000Z,,routine
2089,B92269BE-E479-6711-A1BE14C5EA305E06,91,2015-01-16T00:00:00.000Z,,followup
2090,BA7F73B3-B030-5916-C4387364BCCF721F,90.5,2015-02-26T00:00:00.000Z,,routine
2091,BBBA473D-CDB1-3409-F7EF940B29C19ADA,90.5,2015-02-20T00:00:00.000Z,,routine
2092,CC90A04F-8128-1002-F5FBFF69EA9CC76E,91.5,2015-01-16T00:00:00.000Z,,routine
2093,CE9D7EC4-11C7-153B-1A8BA6ABC0E5AF53,90,2015-02-27T00:00:00.000Z,,routine
2094,D052CA13-EFA5-12D5-5E3E12CA07792E9C,92,2015-03-05T00:00:00.000Z,,routine
2095,D080182E-15BB-F12B-4B7082A75E5CD6CE,91.5,2015-02-25T00:00:00.000Z,,routine
2096,D1A88193-B338-3103-6D4156CC1242952E,87.5,2015-03-03T00:00:00.000Z,,routine
2097,DA2E05F1-E825-5DC9-92E1ABD1EABB435B,91.5,2015-02-27T00:00:00.000Z,,routine
2098,E0468880-EF6A-1AFF-C23916743148E74B,91.5,2015-01-28T00:00:00.000Z,,routine
2099,E29F6688-B82C-3D9C-B281412DE001E5EB,91,2015-01-15T00:00:00.000Z,,routine
2100,E5293DB4-CE37-E536-B854EF2E0FC4213E,90,2015-02-16T00:00:00.000Z,,routine
2101,E52ECDD2-D86B-172F-D7E1D0D8462434EE,90.5,2015-02-10T00:00:00.000Z,,routine
2102,EF90D1A4-DDC0-9130-24EC342C1E15879B,91.5,2015-02-19T00:00:00.000Z,,routine
2103,F9A9E07D-1422-201B-19728BB9FE445BD9,84,2015-03-02T00:00:00.000Z,,routine
2104,F9D78239-061A-6098-C1A2858EF7FECA6E,91.5,2015-02-20T00:00:00.000Z,,routine
2105,496615,93,2015-02-23T00:00:00.000Z,,routine
2106,498437,94,2015-02-23T00:00:00.000Z,,routine
2107,18458149-7493-BBCB-6A17112888BF6319,94,2015-02-16T00:00:00.000Z,,routine
2108,496240,92.5,2015-01-21T00:00:00.000Z,,routine
2109,496788,92.5,2015-02-25T00:00:00.000Z,,routine
2110,501102,92.5,2015-02-11T00:00:00.000Z,,routine
2111,A3369CD8-3048-98E5-1AB6A39914ACC073,94,2015-01-20T00:00:00.000Z,,routine
2112,4B1CBE12-C234-3159-C2C26569D753BC3D,94,2015-02-25T00:00:00.000Z,,routine
2113,501097,94,2015-02-25T00:00:00.000Z,,routine
2114,501176,94,2015-02-13T00:00:00.000Z,,routine
2115,502045,93,2015-02-20T00:00:00.000Z,,routine
2116,508921,94,2015-02-25T00:00:00.000Z,,routine
2117,527360,94,2015-03-06T00:00:00.000Z,,routine
2118,527365,93.5,2015-02-20T00:00:00.000Z,,followup
2119,527694,94,2015-02-11T00:00:00.000Z,,routine
2120,66C72A28-E75A-69B8-B2775555339FAD4B,94,2015-02-27T00:00:00.000Z,,routine
2121,014B14FD-B51C-8ADB-46806034E1BB70BB,93,2015-01-15T00:00:00.000Z,,routine
2122,125E0F75-7254-92C5-785511D99C945655,93.5,2015-03-09T00:00:00.000Z,,routine
2123,B8D37A1B-F32D-C2A1-55CC0A1F0C073101,94,2015-02-24T00:00:00.000Z,,routine
2124,A799E236-F115-4AA0-947D1D2EAB69FDBC,93,2015-02-24T00:00:00.000Z,,routine
2125,BADE7454-1422-201B-19E18814F94A4A22,93,2015-01-28T00:00:00.000Z,,routine
2126,D9CC795E-EC6E-3CE1-B61D85BA6FFD9147,94,2015-01-16T00:00:00.000Z,,routine
2127,F0EB5EA3-DCF0-DB2B-AA7828A5AA0EFD04,94,2015-03-04T00:00:00.000Z,,routine
2128,11634540-F152-1361-31141526242A1DF3,94,2015-02-13T00:00:00.000Z,,routine
2129,1261ED73-DBC1-8008-313493D0AD1D67F6,92.5,2015-02-11T00:00:00.000Z,,routine
2130,12F1FA01-1465-87E8-1C2216229E77FD7E,93.5,2015-03-03T00:00:00.000Z,,routine
2131,496730,94,2015-02-11T00:00:00.000Z,,routine
2132,4C7A1F18-E856-BEFA-5743DF43F06BDF3C,93.5,2015-02-25T00:00:00.000Z,,routine
2133,85DB3F7A-DF22-34BF-4EEAF5E51616CD7A,93,2015-03-02T00:00:00.000Z,,routine
2134,9DD3EB67-9D35-75F5-D1E793520E9359B8,93.5,2015-02-25T00:00:00.000Z,,routine
2135,B35D4DEB-AFDE-1098-C8AF0A7A266CCB6D,94,2015-02-18T00:00:00.000Z,,routine
2136,E91C1C43-F82B-EFE7-1C13E3E70B340213,94,2015-02-20T00:00:00.000Z,,routine
2137,0D781320-0196-91B6-45AA697DB1F4C78C,93.5,2015-02-13T00:00:00.000Z,,routine
2138,0F8E60EF-FA47-2FA8-36EBB349C4007C6F,93.5,2015-02-09T00:00:00.000Z,,routine
2139,1767649D-161F-AF86-9DBE118623AB0ADA,94,2015-02-27T00:00:00.000Z,,routine
2140,23242931-AE19-5C02-F77BE6E645F83F4B,94,2015-02-16T00:00:00.000Z,,routine
